"","Common_name","Family","HB_max","W_max","Skull_max","HomeR_max","Density_max"
"1","Chinese mountain cat","Felidae",84,9,10,NA,NA
"2","Wildcat","Felidae",64,5.8,11.2,11.7,10
"3","Wildcat","Felidae",75,7.7,11.2,13.7,10
"4","Black footed cat","Felidae",41.5,1.6,8.7,8.6,NA
"5","Black footed cat","Felidae",52,2.45,8.7,16.1,NA
"6","Sand cat","Felidae",52,3.1,9.5,NA,NA
"7","Sand cat","Felidae",57,3.4,9.5,16,NA
"8","Jungle cat","Felidae",85,9,14,NA,NA
"9","Jungle cat","Felidae",94,12.2,14,NA,NA
"10","Leopard cat","Felidae",65.5,4.5,10.2,37.1,0.375
"11","Leopard cat","Felidae",75,7.1,10.2,28.9,0.375
"12","Pallas cat","Felidae",53,5,9.3,125.2,0.08
"13","Pallas cat","Felidae",57,5.3,9.3,207,0.08
"14","Flat headed cat","Felidae",52.1,1.9,9.8,NA,NA
"15","Flat headed cat","Felidae",61,2.2,9.8,NA,NA
"16","Rusty spotted cat","Felidae",48,1.1,7.9,NA,NA
"17","Rusty spotted cat","Felidae",48,1.6,7.9,NA,NA
"18","Fishing cat","Felidae",74.3,6.8,15.1,6,NA
"19","Fishing cat","Felidae",115,16,15.1,22,NA
"20","Marbled cat","Felidae",62,5,10.3,5.3,NA
"21","Bay cat","Felidae",67,2,10,NA,NA
"22","Asiatic golden cat","Felidae",94,8.5,15.7,32.6,NA
"23","Asiatic golden cat","Felidae",105,15.8,15.7,47.7,NA
"24","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"25","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"26","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"27","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"28","Servaltine genet","Felidae",82,12.5,14,19.8,65
"29","Servaltine genet","Felidae",82,12.5,14,19.8,65
"30","Servaltine genet","Felidae",82,12.5,14,19.8,65
"31","Servaltine genet","Felidae",82,12.5,14,19.8,65
"32","Servaltine genet","Felidae",92,18,14,31.5,NA
"33","Servaltine genet","Felidae",92,18,14,31.5,NA
"34","Servaltine genet","Felidae",92,18,14,31.5,NA
"35","Servaltine genet","Felidae",92,18,14,31.5,NA
"36","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"37","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"38","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"39","Servaltine genet","Viverridae",51,3,9.8,NA,NA
"40","Servaltine genet","Felidae",82,12.5,14,19.8,65
"41","Servaltine genet","Felidae",82,12.5,14,19.8,65
"42","Servaltine genet","Felidae",82,12.5,14,19.8,65
"43","Servaltine genet","Felidae",82,12.5,14,19.8,65
"44","Servaltine genet","Felidae",92,18,14,31.5,NA
"45","Servaltine genet","Felidae",92,18,14,31.5,NA
"46","Servaltine genet","Felidae",92,18,14,31.5,NA
"47","Servaltine genet","Felidae",92,18,14,31.5,NA
