area,standard_length,d13c,d15n
NW,311,-19.75,11.3
NW,338,-19.85,11.3
NW,355,-19.68,11.69
NW,369,-19.63,12.29
NW,385,-19.55,11.47
NW,400,-19.57,11.85
NW,421,-19.49,12.58
NW,431,-19.21,12.74
NW,449,-19.1,12.24
NW,452,-19.18,12.32
NW,470,-19.33,11.82
NW,483,-19.07,12.66
NW,496,-19.23,12.47
NW,512,-19.09,12.95
NW,520,-19.06,12.37
NW,530,-19.05,12.71
NW,534,-19.06,13
NW,553,-19,13.17
NW,560,-18.9,13.04
NW,576,-19,13.14
SE,331,-19.3,11.98
SE,340,-19.15,12.28
SE,345,-19.09,11.87
SE,363,-19.08,11.61
SE,394,-19.03,12.27
SE,412,-19.14,11.73
SE,419,-18.88,12.76
SE,421,-19.12,11.96
SE,453,-19,12.43
SE,459,-18.69,12.4
SE,469,-18.56,12.5
SE,475,-18.81,12.38
SE,480,-18.96,12.55
SE,384,-19.26,12.2
SE,489,-18.66,12.66
SE,495,-18.68,13.06
SE,498,-18.52,12.52
SE,505,-18.63,12.41
SE,511,-18.72,12.5
SE,523,-18.62,12.88
SE,539,-18.66,13.22
SE,553,-18.72,12.69
SE,561,-18.44,13.05
