weight,time,chick,diet
205,21,1,A
215,21,2,A
202,21,3,A
157,21,4,A
223,21,5,A
157,21,6,A
305,21,7,A
98,21,9,A
124,21,10,A
175,21,11,A
205,21,12,A
96,21,13,A
266,21,14,A
142,21,17,A
157,21,19,A
117,21,20,A
331,21,21,B
167,21,22,B
175,21,23,B
74,21,24,B
265,21,25,B
251,21,26,B
192,21,27,B
233,21,28,B
309,21,29,B
150,21,30,B
256,21,31,C
305,21,32,C
147,21,33,C
341,21,34,C
373,21,35,C
220,21,36,C
178,21,37,C
290,21,38,C
272,21,39,C
321,21,40,C
204,21,41,D
281,21,42,D
200,21,43,D
196,21,45,D
238,21,46,D
205,21,47,D
322,21,48,D
237,21,49,D
264,21,50,D
