weight,time,diet
41.4,0,A
47.25,2,A
56.47368421,4,A
66.78947368,6,A
79.68421053,8,A
93.05263158,10,A
108.5263158,12,A
123.3888889,14,A
144.6470588,16,A
158.9411765,18,A
170.4117647,20,A
177.75,21,A
40.7,0,B
49.4,2,B
59.8,4,B
75.4,6,B
91.7,8,B
108.5,10,B
131.3,12,B
141.9,14,B
164.7,16,B
187.7,18,B
205.6,20,B
214.7,21,B
40.8,0,C
50.4,2,C
62.2,4,C
77.9,6,C
98.4,8,C
117.1,10,C
144.4,12,C
164.5,14,C
197.4,16,C
233.1,18,C
258.9,20,C
270.3,21,C
41,0,D
51.8,2,D
64.5,4,D
83.9,6,D
105.6,8,D
126,10,D
151.4,12,D
161.8,14,D
182,16,D
202.9,18,D
233.8888889,20,D
238.5555556,21,D
